FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
06/01/2020,4,25,19,31,-99,24,-99,29,-99,-99,10,26,-99,-99,-99,34,25,22,25,20,-99,12,12,26,89
06/01/2020,5,28,17,28,-99,29,-99,23,-99,-99,10,31,-99,-99,-99,34,28,23,28,17,-99,19,36,30,43
06/01/2020,6,28,19,36,-99,26,-99,21,-99,-99,9,37,-99,-99,-99,30,23,22,31,17,-99,15,37,31,36
06/01/2020,7,27,11,35,-99,26,-99,26,-99,-99,5,91,-99,-99,-99,27,26,40,28,19,-99,27,41,28,41
06/01/2020,8,19,17,33,-99,31,-99,23,-99,-99,5,43,-99,-99,-99,31,26,40,32,15,-99,37,-99,31,45
06/01/2020,9,26,13,34,-99,31,-99,22,-99,-99,10,37,-99,-99,-99,39,38,50,42,19,-99,41,-99,41,70
06/01/2020,10,36,11,38,-99,38,-99,25,-99,-99,10,37,-99,-99,-99,60,43,51,40,23,-99,43,-99,35,61
06/01/2020,11,26,9,-99,-99,40,-99,28,-99,-99,7,42,-99,-99,-99,57,49,61,35,38,-99,47,37,25,40
06/01/2020,12,17,21,-99,-99,39,-99,39,-99,-99,7,51,-99,-99,-99,66,46,69,72,41,-99,56,47,54,56
06/01/2020,13,17,30,-99,-99,33,-99,27,-99,-99,5,55,-99,-99,-99,72,40,80,62,49,-99,59,48,52,-99
06/01/2020,14,23,31,-99,-99,27,-99,15,-99,-99,3,36,-99,-99,-99,42,42,58,39,44,-99,50,54,48,-99
06/01/2020,15,30,34,40,-99,29,-99,12,-99,-99,16,52,-99,-99,-99,31,49,61,37,40,-99,58,48,49,-99
06/01/2020,16,40,27,37,-99,31,-99,16,-99,-99,25,49,-99,-99,-99,35,48,64,38,35,-99,51,52,38,54
06/01/2020,17,38,27,35,-99,22,-99,28,-99,-99,27,48,-99,-99,-99,35,43,46,38,46,-99,35,39,39,52
06/01/2020,18,41,29,37,-99,23,-99,33,-99,-99,24,38,-99,-99,-99,40,45,27,34,57,-99,40,34,28,46
06/01/2020,19,41,29,39,-99,35,-99,31,-99,-99,21,37,-99,-99,-99,23,52,30,33,47,-99,30,17,18,37
06/01/2020,20,40,31,31,-99,34,-99,33,-99,-99,19,25,-99,-99,-99,25,50,31,81,40,-99,19,16,26,29
06/01/2020,21,35,37,33,-99,36,-99,33,-99,-99,18,42,-99,-99,-99,26,50,29,46,33,-99,29,21,30,38
06/01/2020,22,30,28,34,-99,50,-99,30,-99,-99,19,33,-99,-99,-99,30,41,37,35,32,-99,35,30,44,44
06/01/2020,23,26,27,41,-99,44,-99,37,-99,-99,25,32,-99,-99,-99,48,32,43,53,29,-99,31,41,40,36
06/01/2020,24,20,27,36,-99,37,-99,42,-99,-99,17,39,-99,-99,-99,56,32,43,59,24,-99,27,47,35,49
07/01/2020,1,18,26,35,-99,30,-99,50,-99,-99,19,33,-99,-99,-99,56,27,49,72,18,-99,19,62,46,58
07/01/2020,2,14,26,24,-99,21,-99,47,-99,-99,17,26,-99,-99,-99,90,17,46,50,18,-99,14,51,40,61
07/01/2020,3,11,28,23,-99,21,-99,42,-99,-99,14,19,-99,-99,-99,81,19,45,56,13,-99,13,52,43,53
07/01/2020,4,8,11,30,-99,24,-99,42,-99,-99,12,27,-99,-99,-99,54,14,52,42,13,-99,15,54,43,57
07/01/2020,5,10,12,23,-99,22,-99,31,-99,-99,12,33,-99,-99,-99,41,11,39,41,14,-99,10,43,39,60
07/01/2020,6,9,12,34,-99,13,-99,33,-99,-99,16,37,-99,-99,-99,35,25,39,45,12,-99,19,44,43,70
07/01/2020,7,11,8,36,-99,11,-99,28,-99,-99,14,35,-99,-99,-99,37,21,30,51,14,-99,27,41,29,85
07/01/2020,8,11,18,32,-99,21,-99,30,-99,-99,10,40,-99,-99,-99,36,20,34,38,18,-99,21,44,36,101
07/01/2020,9,11,11,23,-99,20,-99,37,-99,-99,7,26,-99,-99,-99,43,18,44,43,8,-99,31,35,48,83
07/01/2020,10,13,10,23,-99,13,-99,35,-99,-99,5,22,-99,-99,-99,53,13,51,27,10,-99,36,19,37,29
07/01/2020,11,3,10,21,-99,17,-99,11,-99,-99,8,15,-99,-99,-99,45,12,37,17,12,-99,24,9,39,14
07/01/2020,12,17,16,15,-99,15,-99,7,-99,-99,12,16,-99,-99,-99,11,10,18,3,12,-99,14,6,7,11
07/01/2020,13,12,28,14,-99,10,-99,2,-99,-99,8,4,-99,-99,-99,10,16,14,9,13,-99,13,6,9,5
07/01/2020,14,16,21,13,-99,14,-99,3,-99,-99,16,3,-99,-99,-99,10,16,14,-99,13,-99,11,10,15,11
07/01/2020,15,15,21,14,-99,12,-99,3,-99,-99,16,19,-99,-99,-99,9,18,17,17,23,-99,12,8,9,14
07/01/2020,16,20,13,20,-99,14,-99,10,-99,-99,25,14,-99,-99,-99,13,23,16,8,22,-99,13,11,9,12
07/01/2020,17,15,16,20,-99,15,-99,8,-99,-99,26,12,-99,-99,-99,14,25,17,15,27,-99,14,9,14,10
07/01/2020,18,19,17,20,-99,19,-99,18,-99,-99,30,26,-99,-99,-99,22,20,19,19,21,-99,16,21,20,17
07/01/2020,19,22,31,14,-99,23,-99,26,-99,-99,33,18,-99,-99,-99,25,17,22,20,22,-99,15,30,17,11
07/01/2020,20,20,27,19,-99,20,-99,19,-99,-99,22,-99,-99,-99,-99,29,19,19,21,17,-99,17,22,13,14
07/01/2020,21,15,14,14,-99,17,-99,19,-99,-99,18,9,-99,-99,-99,25,16,19,21,17,-99,15,27,26,28
07/01/2020,22,17,8,11,-99,12,-99,13,-99,-99,18,13,-99,-99,-99,15,10,12,21,14,-99,22,26,24,32
07/01/2020,23,17,12,16,-99,15,-99,15,-99,-99,14,9,-99,-99,-99,23,12,17,27,17,-99,23,21,15,17
07/01/2020,24,14,11,16,-99,18,-99,19,-99,-99,15,19,-99,-99,-99,18,23,16,19,15,-99,22,-99,14,34
08/01/2020,1,15,16,16,-99,21,-99,19,20,-99,20,22,-99,-99,-99,27,15,17,4,14,-99,10,9,22,17
08/01/2020,2,13,18,11,-99,18,-99,20,17,-99,15,20,-99,-99,-99,21,24,18,3,14,-99,17,27,18,27
08/01/2020,3,17,20,17,-99,23,-99,17,20,-99,16,24,-99,-99,-99,22,16,18,23,13,-99,19,27,22,16
08/01/2020,4,15,17,19,-99,16,-99,15,21,-99,15,10,-99,-99,-99,26,19,18,29,14,-99,15,23,13,23
08/01/2020,5,15,13,18,-99,18,-99,21,26,-99,13,21,-99,-99,-99,27,18,22,25,15,-99,19,19,34,32
08/01/2020,6,17,19,22,-99,19,-99,29,27,-99,13,18,-99,-99,-99,29,18,28,25,21,-99,20,26,35,48
08/01/2020,7,18,18,20,-99,21,-99,23,30,-99,14,32,-99,-99,-99,26,15,22,36,25,-99,25,28,37,44
08/01/2020,8,21,13,22,-99,21,-99,27,34,-99,15,28,-99,-99,-99,29,23,25,40,19,-99,23,28,34,38
08/01/2020,9,19,11,23,-99,22,-99,19,37,-99,16,25,-99,-99,-99,24,23,33,28,22,-99,30,22,35,47
08/01/2020,10,25,9,27,-99,25,-99,25,44,-99,12,28,-99,-99,-99,37,23,41,42,24,-99,33,20,38,54
08/01/2020,11,26,16,32,-99,30,-99,27,44,-99,21,48,-99,-99,-99,41,33,54,38,28,-99,36,19,41,57
08/01/2020,12,24,24,42,-99,29,-99,29,45,-99,26,55,-99,-99,-99,47,36,60,52,38,-99,42,15,45,59
08/01/2020,13,27,36,46,-99,26,-99,24,46,-99,30,53,-99,-99,-99,47,38,66,51,36,-99,50,21,56,50
08/01/2020,14,26,31,46,-99,36,-99,19,36,-99,25,28,-99,-99,-99,60,41,68,47,42,-99,-99,32,44,56
08/01/2020,15,29,29,43,-99,26,-99,16,28,-99,27,26,-99,-99,-99,99,44,61,14,37,-99,47,29,39,40
08/01/2020,16,34,22,41,-99,24,-99,22,24,-99,16,39,-99,-99,-99,53,37,40,32,37,-99,55,31,42,23
08/01/2020,17,34,14,39,-99,26,-99,20,21,-99,23,31,-99,-99,-99,44,40,24,16,44,-99,58,33,42,22
08/01/2020,18,31,16,32,-99,22,-99,27,28,-99,21,16,-99,-99,-99,36,37,19,43,38,-99,52,26,19,29
08/01/2020,19,19,52,16,-99,16,-99,19,17,-99,18,26,-99,-99,-99,34,22,17,23,37,-99,45,8,18,26
08/01/2020,20,25,44,16,-99,21,-99,12,14,-99,37,6,-99,-99,-99,21,39,15,20,36,-99,21,13,14,18
08/01/2020,21,24,18,35,-99,40,-99,14,10,-99,38,27,-99,-99,-99,23,39,16,19,36,-99,34,16,-99,23
08/01/2020,22,26,15,40,-99,32,-99,11,17,-99,37,26,-99,-99,-99,52,39,18,12,40,-99,33,21,-99,43
08/01/2020,23,26,9,37,-99,30,-99,15,19,-99,29,34,-99,-99,-99,29,40,21,28,36,-99,38,22,-99,48
08/01/2020,24,24,15,32,-99,33,-99,20,23,-99,23,34,-99,-99,-99,46,30,31,23,33,-99,33,32,-99,24
09/01/2020,1,17,20,36,-99,27,-99,22,26,-99,22,46,-99,-99,-99,41,32,37,44,28,-99,30,20,-99,20
09/01/2020,2,17,21,33,-99,28,-99,28,29,-99,17,37,-99,-99,-99,55,20,38,41,23,-99,24,41,-99,29
09/01/2020,3,17,20,28,-99,27,-99,30,33,-99,17,38,-99,-99,-99,83,18,48,32,21,-99,30,31,-99,33
